id	image_path	input	output
3054_enriched.hrc	image_generator/data/images/3054_full_3_close-up_shot_3_original.png	could you go to the bedroom and take the creditcard on the bed please	[{'frame': 'MOTION', 'elements': [{'name': 'Theme', 'surface': 'you', 'bbox_2d': '<ROBOT>'}, {'name': 'Goal', 'surface': 'bedroom', 'bbox_2d': '<ROOM>'}]}, {'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'creditcard', 'bbox_2d': [195, 583, 713, 861]}]}]
3054_enriched.hrc	image_generator/data/images/3054_full_3_close-up_shot_3_original.png	could you go to the bedroom and take the creditcard on the bed please	[{'frame': 'MOTION', 'elements': [{'name': 'Theme', 'surface': 'you', 'bbox_2d': '<ROBOT>'}, {'name': 'Goal', 'surface': 'bedroom', 'bbox_2d': '<ROOM>'}]}, {'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'creditcard', 'bbox_2d': [99, 643, 678, 940]}]}]
3054_enriched.hrc	image_generator/data/images/3054_empty_0_wide_shot_3_original.png	could you go to the bedroom and take the creditcard on the bed please	[{'frame': 'MOTION', 'elements': [{'name': 'Theme', 'surface': 'you', 'bbox_2d': '<ROBOT>'}, {'name': 'Goal', 'surface': 'bedroom', 'bbox_2d': '<ROOM>'}]}, {'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'creditcard', 'bbox_2d': '<MISSING>'}]}]
3054_enriched.hrc	image_generator/data/images/3054_empty_1_wide_shot_1_original.png	could you go to the bedroom and take the creditcard on the bed please	[{'frame': 'MOTION', 'elements': [{'name': 'Theme', 'surface': 'you', 'bbox_2d': '<ROBOT>'}, {'name': 'Goal', 'surface': 'bedroom', 'bbox_2d': '<ROOM>'}]}, {'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'creditcard', 'bbox_2d': [656, 800, 793, 868]}]}]
3054_enriched.hrc	image_generator/data/images/3054_partial_2_close-up_shot_3_original.png	could you go to the bedroom and take the creditcard on the bed please	[{'frame': 'MOTION', 'elements': [{'name': 'Theme', 'surface': 'you', 'bbox_2d': '<ROBOT>'}, {'name': 'Goal', 'surface': 'bedroom', 'bbox_2d': '<ROOM>'}]}, {'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'creditcard', 'bbox_2d': [458, 476, 563, 516]}]}]
3054_enriched.hrc	image_generator/data/images/3054_partial_2_close-up_shot_2_original.png	could you go to the bedroom and take the creditcard on the bed please	[{'frame': 'MOTION', 'elements': [{'name': 'Theme', 'surface': 'you', 'bbox_2d': '<ROBOT>'}, {'name': 'Goal', 'surface': 'bedroom', 'bbox_2d': '<ROOM>'}]}, {'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'creditcard', 'bbox_2d': [458, 646, 595, 741]}]}]
3039_enriched.hrc	image_generator/data/images/3039_full_3_close-up_shot_2_original.png	bring me the potato and the kettle	[{'frame': 'BRINGING', 'elements': [{'name': 'Beneficiary', 'surface': 'me', 'bbox_2d': '<PERSON>'}, {'name': 'Theme', 'surface': 'potato', 'bbox_2d': [566, 630, 839, 836]}]}]
3039_enriched.hrc	image_generator/data/images/3039_full_3_close-up_shot_4_original.png	bring me the potato and the kettle	[{'frame': 'BRINGING', 'elements': [{'name': 'Beneficiary', 'surface': 'me', 'bbox_2d': '<PERSON>'}, {'name': 'Theme', 'surface': 'potato', 'bbox_2d': [480, 634, 807, 898]}]}]
3039_enriched.hrc	image_generator/data/images/3039_empty_0_close-up_shot_3_original.png	bring me the potato and the kettle	[{'frame': 'BRINGING', 'elements': [{'name': 'Beneficiary', 'surface': 'me', 'bbox_2d': '<PERSON>'}, {'name': 'Theme', 'surface': 'potato', 'bbox_2d': '<MISSING>'}]}]
3039_enriched.hrc	image_generator/data/images/3039_empty_0_close-up_shot_2_original.png	bring me the potato and the kettle	[{'frame': 'BRINGING', 'elements': [{'name': 'Beneficiary', 'surface': 'me', 'bbox_2d': '<PERSON>'}, {'name': 'Theme', 'surface': 'potato', 'bbox_2d': '<MISSING>'}]}]
3039_enriched.hrc	image_generator/data/images/3039_partial_2_close-up_shot_3_original.png	bring me the potato and the kettle	[{'frame': 'BRINGING', 'elements': [{'name': 'Beneficiary', 'surface': 'me', 'bbox_2d': '<PERSON>'}, {'name': 'Theme', 'surface': 'potato', 'bbox_2d': [72, 538, 567, 897]}]}]
3039_enriched.hrc	image_generator/data/images/3039_partial_2_close-up_shot_2_original.png	bring me the potato and the kettle	[{'frame': 'BRINGING', 'elements': [{'name': 'Beneficiary', 'surface': 'me', 'bbox_2d': '<PERSON>'}, {'name': 'Theme', 'surface': 'potato', 'bbox_2d': [549, 615, 835, 803]}]}]
3136_enriched.hrc	image_generator/data/images/3136_full_3_close-up_shot_4_original.png	take the black paperback from the bookshelf	[{'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'paperback', 'bbox_2d': '<MISSING>'}, {'name': 'Source', 'surface': 'bookshelf', 'bbox_2d': '<MISSING>'}]}]
3136_enriched.hrc	image_generator/data/images/3136_full_3_close-up_shot_0_original.png	take the black paperback from the bookshelf	[{'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'paperback', 'bbox_2d': '<MISSING>'}, {'name': 'Source', 'surface': 'bookshelf', 'bbox_2d': [1, 299, 566, 862]}]}]
3136_enriched.hrc	image_generator/data/images/3136_empty_0_close-up_shot_4_original.png	take the black paperback from the bookshelf	[{'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'paperback', 'bbox_2d': '<MISSING>'}, {'name': 'Source', 'surface': 'bookshelf', 'bbox_2d': [888, 122, 1022, 590]}]}]
3136_enriched.hrc	image_generator/data/images/3136_empty_0_close-up_shot_1_original.png	take the black paperback from the bookshelf	[{'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'paperback', 'bbox_2d': '<MISSING>'}, {'name': 'Source', 'surface': 'bookshelf', 'bbox_2d': [83, 164, 330, 561]}]}]
3136_enriched.hrc	image_generator/data/images/3136_partial_2_close-up_shot_1_original.png	take the black paperback from the bookshelf	[{'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'paperback', 'bbox_2d': '<MISSING>'}, {'name': 'Source', 'surface': 'bookshelf', 'bbox_2d': '<MISSING>'}]}]
3136_enriched.hrc	image_generator/data/images/3136_partial_2_close-up_shot_0_original.png	take the black paperback from the bookshelf	[{'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'paperback', 'bbox_2d': '<MISSING>'}, {'name': 'Source', 'surface': 'bookshelf', 'bbox_2d': [203, 272, 846, 1017]}]}]
3092_enriched.hrc	image_generator/data/images/3092_empty_0_close-up_shot_2_original.png	move to bedroom	[{'frame': 'MOTION', 'elements': [{'name': 'Goal', 'surface': 'bedroom', 'bbox_2d': '<ROOM>'}]}]
3092_enriched.hrc	image_generator/data/images/3092_empty_0_close-up_shot_4_original.png	move to bedroom	[{'frame': 'MOTION', 'elements': [{'name': 'Goal', 'surface': 'bedroom', 'bbox_2d': '<ROOM>'}]}]
3148_enriched.hrc	image_generator/data/images/3148_full_1_close-up_shot_2_original.png	take three coffee cups and bring them to me	[{'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'cups', 'bbox_2d': '<MISSING>'}]}, {'frame': 'BRINGING', 'elements': [{'name': 'Theme', 'surface': 'them', 'bbox_2d': '<PERSON>'}, {'name': 'Beneficiary', 'surface': 'me', 'bbox_2d': '<PERSON>'}]}]
3148_enriched.hrc	image_generator/data/images/3148_full_1_close-up_shot_4_original.png	take three coffee cups and bring them to me	[{'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'cups', 'bbox_2d': '<MISSING>'}]}, {'frame': 'BRINGING', 'elements': [{'name': 'Theme', 'surface': 'them', 'bbox_2d': '<PERSON>'}, {'name': 'Beneficiary', 'surface': 'me', 'bbox_2d': '<PERSON>'}]}]
3148_enriched.hrc	image_generator/data/images/3148_empty_0_close-up_shot_3_original.png	take three coffee cups and bring them to me	[{'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'cups', 'bbox_2d': '<MISSING>'}]}, {'frame': 'BRINGING', 'elements': [{'name': 'Theme', 'surface': 'them', 'bbox_2d': '<PERSON>'}, {'name': 'Beneficiary', 'surface': 'me', 'bbox_2d': '<PERSON>'}]}]
3148_enriched.hrc	image_generator/data/images/3148_empty_0_close-up_shot_2_original.png	take three coffee cups and bring them to me	[{'frame': 'TAKING', 'elements': [{'name': 'Theme', 'surface': 'cups', 'bbox_2d': '<MISSING>'}]}, {'frame': 'BRINGING', 'elements': [{'name': 'Theme', 'surface': 'them', 'bbox_2d': '<PERSON>'}, {'name': 'Beneficiary', 'surface': 'me', 'bbox_2d': '<PERSON>'}]}]
3094_enriched.hrc	image_generator/data/images/3094_empty_0_close-up_shot_2_original.png	move to the dining room	[{'frame': 'MOTION', 'elements': [{'name': 'Goal', 'surface': 'room', 'bbox_2d': '<ROOM>'}]}]
3094_enriched.hrc	image_generator/data/images/3094_empty_0_close-up_shot_4_original.png	move to the dining room	[{'frame': 'MOTION', 'elements': [{'name': 'Goal', 'surface': 'room', 'bbox_2d': '<ROOM>'}]}]
3093_enriched.hrc	image_generator/data/images/3093_empty_0_long_shot_3_original.png	move to the bedroom	[{'frame': 'MOTION', 'elements': [{'name': 'Goal', 'surface': 'bedroom', 'bbox_2d': '<ROOM>'}]}]
3093_enriched.hrc	image_generator/data/images/3093_empty_0_long_shot_2_original.png	move to the bedroom	[{'frame': 'MOTION', 'elements': [{'name': 'Goal', 'surface': 'bedroom', 'bbox_2d': '<ROOM>'}]}]
3083_enriched.hrc	image_generator/data/images/3083_empty_0_close-up_shot_2_original.png	i need my watch find it please	[{'frame': 'LOCATING', 'elements': [{'name': 'Sought_entity', 'surface': 'it', 'bbox_2d': '<MISSING>'}]}]
3083_enriched.hrc	image_generator/data/images/3083_empty_0_close-up_shot_4_original.png	i need my watch find it please	[{'frame': 'LOCATING', 'elements': [{'name': 'Sought_entity', 'surface': 'it', 'bbox_2d': '<MISSING>'}]}]
3149_enriched.hrc	image_generator/data/images/3149_empty_3_close-up_shot_2_original.png	the keys should be on the table on the right of a pile of forks	[{'frame': 'BEING_LOCATED', 'elements': [{'name': 'Theme', 'surface': 'keys', 'bbox_2d': [360, 511, 1021, 773]}, {'name': 'Location', 'surface': 'table', 'bbox_2d': [2, 256, 1021, 1017]}]}]
3149_enriched.hrc	image_generator/data/images/3149_empty_3_long_shot_2_original.png	the keys should be on the table on the right of a pile of forks	[{'frame': 'BEING_LOCATED', 'elements': [{'name': 'Theme', 'surface': 'keys', 'bbox_2d': '<MISSING>'}, {'name': 'Location', 'surface': 'table', 'bbox_2d': [2, 634, 1020, 1018]}]}]
3149_enriched.hrc	image_generator/data/images/3149_partial_3_close-up_shot_4_original.png	the keys should be on the table on the right of a pile of forks	[{'frame': 'BEING_LOCATED', 'elements': [{'name': 'Theme', 'surface': 'keys', 'bbox_2d': [453, 403, 850, 880]}, {'name': 'Location', 'surface': 'table', 'bbox_2d': [2, 267, 1020, 1017]}]}]
3149_enriched.hrc	image_generator/data/images/3149_partial_3_high-angle_shot_3_original.png	the keys should be on the table on the right of a pile of forks	[{'frame': 'BEING_LOCATED', 'elements': [{'name': 'Theme', 'surface': 'keys', 'bbox_2d': '<MISSING>'}, {'name': 'Location', 'surface': 'table', 'bbox_2d': '<MISSING>'}]}]
3057_enriched.hrc	image_generator/data/images/3057_full_1_close-up_shot_2_original.png	do you think you can find my keys	[{'frame': 'LOCATING', 'elements': [{'name': 'Cognizer', 'surface': 'you', 'bbox_2d': '<ROBOT>'}, {'name': 'Sought_entity', 'surface': 'keys', 'bbox_2d': '<MISSING>'}]}]
3057_enriched.hrc	image_generator/data/images/3057_full_1_close-up_shot_4_original.png	do you think you can find my keys	[{'frame': 'LOCATING', 'elements': [{'name': 'Cognizer', 'surface': 'you', 'bbox_2d': '<ROBOT>'}, {'name': 'Sought_entity', 'surface': 'keys', 'bbox_2d': '<MISSING>'}]}]
3057_enriched.hrc	image_generator/data/images/3057_empty_0_close-up_shot_1_original.png	do you think you can find my keys	[{'frame': 'LOCATING', 'elements': [{'name': 'Cognizer', 'surface': 'you', 'bbox_2d': '<ROBOT>'}, {'name': 'Sought_entity', 'surface': 'keys', 'bbox_2d': '<MISSING>'}]}]
3057_enriched.hrc	image_generator/data/images/3057_empty_0_close-up_shot_3_original.png	do you think you can find my keys	[{'frame': 'LOCATING', 'elements': [{'name': 'Cognizer', 'surface': 'you', 'bbox_2d': '<ROBOT>'}, {'name': 'Sought_entity', 'surface': 'keys', 'bbox_2d': '<MISSING>'}]}]
3082_enriched.hrc	image_generator/data/images/3082_full_1_close-up_shot_2_original.png	i lost my ring in the living room can you search for it maybe it 's near the sofa	[{'frame': 'LOCATING', 'elements': [{'name': 'Cognizer', 'surface': 'you', 'bbox_2d': '<ROBOT>'}, {'name': 'Sought_entity', 'surface': 'it', 'bbox_2d': '<MISSING>'}]}, {'frame': 'BEING_LOCATED', 'elements': [{'name': 'Theme', 'surface': 'it', 'bbox_2d': '<MISSING>'}, {'name': 'Location', 'surface': 'sofa', 'bbox_2d': [3, 159, 1020, 1017]}]}]
3082_enriched.hrc	image_generator/data/images/3082_full_1_close-up_shot_4_original.png	i lost my ring in the living room can you search for it maybe it 's near the sofa	[{'frame': 'LOCATING', 'elements': [{'name': 'Cognizer', 'surface': 'you', 'bbox_2d': '<ROBOT>'}, {'name': 'Sought_entity', 'surface': 'it', 'bbox_2d': '<MISSING>'}]}, {'frame': 'BEING_LOCATED', 'elements': [{'name': 'Theme', 'surface': 'it', 'bbox_2d': '<MISSING>'}, {'name': 'Location', 'surface': 'sofa', 'bbox_2d': [3, 326, 1020, 1018]}]}]
3082_enriched.hrc	image_generator/data/images/3082_empty_0_close-up_shot_3_original.png	i lost my ring in the living room can you search for it maybe it 's near the sofa	[{'frame': 'LOCATING', 'elements': [{'name': 'Cognizer', 'surface': 'you', 'bbox_2d': '<ROBOT>'}, {'name': 'Sought_entity', 'surface': 'it', 'bbox_2d': '<MISSING>'}]}, {'frame': 'BEING_LOCATED', 'elements': [{'name': 'Theme', 'surface': 'it', 'bbox_2d': '<MISSING>'}, {'name': 'Location', 'surface': 'sofa', 'bbox_2d': [628, 344, 1021, 1017]}]}]
